model,image,category,level,response,RT,seed
simulated,simulated,1,super,yes,87.6104747040318,1
simulated,simulated,1,super,yes,87.57691012021917,1
simulated,simulated,1,super,yes,87.60497188398209,1
simulated,simulated,1,super,yes,87.62501013916881,1
simulated,simulated,1,super,yes,87.6392143233129,1
simulated,simulated,1,super,yes,87.56536010811784,1
simulated,simulated,1,super,yes,87.64156026033481,1
simulated,simulated,1,super,yes,87.55510156571934,1
simulated,simulated,1,super,yes,87.60350562583604,1
simulated,simulated,1,super,yes,87.54611225007129,1
simulated,simulated,1,super,yes,87.55416543407196,1
simulated,simulated,1,super,yes,87.54693738262698,1
simulated,simulated,1,super,yes,87.6204736411492,1
simulated,simulated,1,super,yes,87.66560213903087,1
simulated,simulated,1,super,yes,87.62459080358681,1
simulated,simulated,1,super,yes,87.64133724423732,1
simulated,simulated,1,super,yes,87.42371220281693,1
simulated,simulated,1,super,yes,87.57204157250284,1
simulated,simulated,1,super,yes,87.58151558686545,1
simulated,simulated,1,super,yes,87.57943708338914,1
simulated,simulated,1,super,yes,87.72719488184853,1
simulated,simulated,1,super,yes,87.61106852404649,1
simulated,simulated,1,super,yes,87.52521630531415,1
simulated,simulated,1,super,yes,87.5927253647485,1
simulated,simulated,1,super,yes,87.61720729785755,1
simulated,simulated,1,super,yes,87.68724271146135,1
simulated,simulated,1,super,yes,87.73023774320716,1
simulated,simulated,1,super,yes,87.57106330889266,1
simulated,simulated,1,super,yes,87.59116494737711,1
simulated,simulated,1,super,yes,87.61365236653417,1
simulated,simulated,1,super,yes,87.52180186097355,1
simulated,simulated,1,super,yes,87.62744090775755,1
simulated,simulated,1,super,yes,87.64864513115539,1
simulated,simulated,1,super,yes,87.59942597040742,1
simulated,simulated,1,super,yes,87.59406345910895,1
simulated,simulated,1,super,yes,87.59725729954721,1
simulated,simulated,1,super,yes,87.55040469374869,1
simulated,simulated,1,super,yes,87.63970885792733,1
simulated,simulated,1,super,yes,87.57141889741237,1
simulated,simulated,1,super,yes,87.60083306301011,1
simulated,simulated,1,super,yes,87.49755013145746,1
simulated,simulated,1,super,yes,87.60314831120237,1
simulated,simulated,1,super,yes,87.56078876569998,1
simulated,simulated,1,super,yes,87.60043239648532,1
simulated,simulated,1,super,yes,87.59587282733132,1
simulated,simulated,1,super,yes,87.6318936202084,1
simulated,simulated,1,super,yes,87.59445323914288,1
simulated,simulated,1,super,yes,87.55980336016422,1
simulated,simulated,1,super,yes,87.61510973739595,1
simulated,simulated,1,super,yes,87.66263830515271,1
simulated,simulated,1,super,yes,87.63691672571214,1
simulated,simulated,1,super,yes,87.53665539586898,1
simulated,simulated,1,super,yes,87.56686989538629,1
simulated,simulated,1,super,yes,87.56290647960613,1
simulated,simulated,1,super,yes,87.66054935525621,1
simulated,simulated,1,super,yes,87.60088259925482,1
simulated,simulated,1,super,yes,87.56792404904294,1
simulated,simulated,1,super,yes,87.50225551792094,1
simulated,simulated,1,super,yes,87.5651477764942,1
simulated,simulated,1,super,yes,87.49924847228026,1
simulated,simulated,1,super,yes,87.45207759369772,1
simulated,simulated,1,super,yes,87.62458144077914,1
simulated,simulated,1,super,yes,87.52427742268884,1
simulated,simulated,1,super,yes,87.61094806803314,1
simulated,simulated,1,super,yes,87.6004001307985,1
simulated,simulated,1,super,yes,87.65322972294715,1
simulated,simulated,1,super,yes,87.56037003871607,1
simulated,simulated,1,super,yes,87.56586954879138,1
simulated,simulated,1,super,yes,87.60764552546196,1
simulated,simulated,1,super,yes,87.57984708537299,1
simulated,simulated,1,super,yes,87.60260845525958,1
simulated,simulated,1,super,yes,87.61317422303881,1
simulated,simulated,1,super,yes,87.63075494219687,1
simulated,simulated,1,super,yes,87.61911347989147,1
simulated,simulated,1,super,yes,87.70153240243293,1
simulated,simulated,1,super,yes,87.52258118479592,1
simulated,simulated,1,super,yes,87.62953659855113,1
simulated,simulated,1,super,yes,87.64552075423735,1
simulated,simulated,1,super,yes,87.58292562214064,1
simulated,simulated,1,super,yes,87.57883401484835,1
simulated,simulated,1,super,yes,87.58360779187862,1
simulated,simulated,1,super,yes,87.48229811437793,1
simulated,simulated,1,super,yes,87.65642363323576,1
simulated,simulated,1,super,yes,87.63300779462736,1
simulated,simulated,1,super,yes,87.59989101171257,1
simulated,simulated,1,super,yes,87.62555837612713,1
simulated,simulated,1,super,yes,87.53902772974622,1
simulated,simulated,1,super,yes,87.60213890928037,1
simulated,simulated,1,super,yes,87.6336870786241,1
simulated,simulated,1,super,yes,87.63566571204777,1
simulated,simulated,1,super,yes,87.66946020035543,1
simulated,simulated,1,super,yes,87.58622867017247,1
simulated,simulated,1,super,yes,87.62765435584677,1
simulated,simulated,1,super,yes,87.68878009451089,1
simulated,simulated,1,super,yes,87.62164248855156,1
simulated,simulated,1,super,yes,87.63002319936379,1
simulated,simulated,1,super,yes,87.5802345681057,1
simulated,simulated,1,super,yes,87.57402701013244,1
simulated,simulated,1,super,yes,87.60278832155602,1
simulated,simulated,1,super,yes,87.58989509719902,1
simulated,simulated,1,super,yes,87.59430481381088,1
simulated,simulated,1,super,yes,87.63503378028669,1
simulated,simulated,1,super,yes,87.559241843878,1
simulated,simulated,1,super,yes,87.5660726437742,1
simulated,simulated,1,super,yes,87.64783473631957,1
simulated,simulated,1,super,yes,87.61254934103779,1
simulated,simulated,1,super,yes,87.54977838940869,1
simulated,simulated,1,super,yes,87.50191659906034,1
simulated,simulated,1,super,yes,87.65987468213886,1
simulated,simulated,1,super,yes,87.5624723641269,1
simulated,simulated,1,super,yes,87.66722855265226,1
simulated,simulated,1,super,yes,87.6691732470921,1
simulated,simulated,1,super,yes,87.46002386294859,1
simulated,simulated,1,super,yes,87.62134917723667,1
simulated,simulated,1,super,yes,87.54901504358065,1
simulated,simulated,1,super,yes,87.64009672237964,1
simulated,simulated,1,super,yes,87.48339274442976,1
simulated,simulated,1,super,yes,87.52011074227134,1
simulated,simulated,1,super,yes,87.64685882662737,1
simulated,simulated,1,super,yes,87.57774199116525,1
simulated,simulated,1,super,yes,87.66224765701975,1
simulated,simulated,1,super,yes,87.58499063980528,1
simulated,simulated,1,super,yes,87.62870823569138,1
simulated,simulated,1,super,yes,87.67565799207443,1
simulated,simulated,1,super,yes,87.44882195353286,1
simulated,simulated,1,super,yes,87.57426680062078,1
simulated,simulated,1,super,yes,87.65151074531443,1
simulated,simulated,1,super,yes,87.53735771957716,1
simulated,simulated,1,super,yes,87.52968344520845,1
simulated,simulated,1,super,yes,87.65365679236395,1
simulated,simulated,1,super,yes,87.61632013007402,1
simulated,simulated,1,super,yes,87.55728654098827,1
simulated,simulated,1,super,yes,87.57642488824858,1
simulated,simulated,1,super,yes,87.53164192887307,1
simulated,simulated,1,super,yes,87.60477598472087,1
simulated,simulated,1,super,yes,87.55322039815964,1
simulated,simulated,1,super,yes,87.45633236858806,1
simulated,simulated,1,super,yes,87.59554632628101,1
simulated,simulated,1,super,yes,87.5396383064683,1
simulated,simulated,1,super,yes,87.62773248147421,1
simulated,simulated,1,super,yes,87.64927288209289,1
simulated,simulated,1,super,yes,87.60098757730105,1
simulated,simulated,1,super,yes,87.70215775148822,1
simulated,simulated,1,super,yes,87.6715926339375,1
simulated,simulated,1,super,yes,87.54561392191758,1
simulated,simulated,1,super,yes,87.62441144957076,1
simulated,simulated,1,super,yes,87.56874383813965,1
simulated,simulated,1,super,yes,87.59419879781326,1
simulated,simulated,1,super,yes,87.54459227810429,1
simulated,simulated,1,super,yes,87.43888227255235,1
simulated,simulated,1,super,yes,87.56722926619001,1
simulated,simulated,1,super,yes,87.62172636600764,1
simulated,simulated,1,super,yes,87.56548311836994,1
simulated,simulated,1,super,yes,87.6331512064486,1
simulated,simulated,1,super,yes,87.58617564890764,1
simulated,simulated,1,super,yes,87.60314792233902,1
simulated,simulated,1,super,yes,87.55540151062304,1
simulated,simulated,1,super,yes,87.64307902699557,1
simulated,simulated,1,super,yes,87.6093191043436,1
simulated,simulated,1,super,yes,87.57482202373572,1
simulated,simulated,1,super,yes,87.70054140050682,1
simulated,simulated,1,super,yes,87.63062844311902,1
simulated,simulated,1,super,yes,87.55109648067427,1
simulated,simulated,1,super,yes,87.5394090763178,1
simulated,simulated,1,super,yes,87.59077443751839,1
simulated,simulated,1,super,yes,87.62977280253685,1
simulated,simulated,1,super,yes,87.5900742702629,1
simulated,simulated,1,super,yes,87.48760910816678,1
simulated,simulated,1,super,yes,87.51978147979683,1
simulated,simulated,1,super,yes,87.61495784964548,1
simulated,simulated,1,super,yes,87.61156494344765,1
simulated,simulated,1,super,yes,87.54039147286116,1
simulated,simulated,1,super,yes,87.67052755834732,1
simulated,simulated,1,super,yes,87.66361671721559,1
simulated,simulated,1,super,yes,87.55943342803428,1
simulated,simulated,1,super,yes,87.49211059349035,1
simulated,simulated,1,super,yes,87.59464761417729,1
simulated,simulated,1,super,yes,87.64024755060058,1
simulated,simulated,1,super,yes,87.61091452457963,1
simulated,simulated,1,super,yes,87.63806041547761,1
simulated,simulated,0,basic,yes,257.7889884309545,1
simulated,simulated,0,basic,yes,257.7799028518339,1
simulated,simulated,0,basic,yes,257.7429806547627,1
simulated,simulated,0,basic,yes,257.7595919085197,1
simulated,simulated,0,basic,yes,257.75512274561794,1
simulated,simulated,0,basic,yes,257.7460523379293,1
simulated,simulated,0,basic,yes,257.7689048567358,1
simulated,simulated,0,basic,yes,257.7902715429783,1
simulated,simulated,0,basic,yes,257.7352731943556,1
simulated,simulated,0,basic,yes,257.724277698857,1
simulated,simulated,0,basic,yes,257.7327623206411,1
simulated,simulated,0,basic,yes,257.722904798181,1
simulated,simulated,0,basic,yes,257.80282186152493,1
simulated,simulated,0,basic,yes,257.71533223515576,1
simulated,simulated,0,basic,yes,257.834506074237,1
simulated,simulated,0,basic,yes,257.82345781233295,1
simulated,simulated,0,basic,yes,257.78718395140226,1
simulated,simulated,0,basic,yes,257.7213717539657,1
simulated,simulated,0,basic,yes,257.76908717486344,1
simulated,simulated,0,basic,yes,257.7241987115321,1
simulated,simulated,0,basic,yes,257.7333926445976,1
simulated,simulated,0,basic,yes,257.73301916131703,1
simulated,simulated,0,basic,yes,257.72762980395544,1
simulated,simulated,0,basic,yes,257.75968113035304,1
simulated,simulated,0,basic,yes,257.79534344589655,1
simulated,simulated,0,basic,yes,257.7464299339479,1
simulated,simulated,0,basic,yes,257.73506814035005,1
simulated,simulated,0,basic,yes,257.8091155876992,1
simulated,simulated,0,basic,yes,257.73879744014636,1
simulated,simulated,0,basic,yes,257.78401654198484,1
simulated,simulated,0,basic,yes,257.80861993894405,1
simulated,simulated,0,basic,yes,257.84851950301476,1
simulated,simulated,0,basic,yes,257.71959210843914,1
simulated,simulated,0,basic,yes,257.78461183314374,1
simulated,simulated,0,basic,yes,257.79251356958537,1
simulated,simulated,0,basic,yes,257.7307207379734,1
simulated,simulated,0,basic,yes,257.7980735538766,1
simulated,simulated,0,basic,yes,257.72752104642444,1
simulated,simulated,0,basic,yes,257.7949853706593,1
simulated,simulated,0,basic,yes,257.7038900975765,1
simulated,simulated,0,basic,yes,257.7427482533416,1
simulated,simulated,0,basic,yes,257.7376485802765,1
simulated,simulated,0,basic,yes,257.72879987116045,1
simulated,simulated,0,basic,yes,257.75913749080553,1
simulated,simulated,0,basic,yes,257.7748123403707,1
simulated,simulated,0,basic,yes,257.7494639639172,1
simulated,simulated,0,basic,yes,257.768259199269,1
simulated,simulated,0,basic,yes,257.7811249112205,1
simulated,simulated,0,basic,yes,257.763171586449,1
simulated,simulated,0,basic,yes,257.79183150467753,1
simulated,simulated,0,basic,yes,257.77412214818764,1
simulated,simulated,0,basic,yes,257.7761086508865,1
simulated,simulated,0,basic,yes,257.72501177498725,1
simulated,simulated,0,basic,yes,257.6428269434801,1
simulated,simulated,0,basic,yes,257.74002203077976,1
simulated,simulated,0,basic,yes,257.6945276766721,1
simulated,simulated,0,basic,yes,257.79104262790383,1
simulated,simulated,0,basic,yes,257.7178281304551,1
simulated,simulated,0,basic,yes,257.70303476193175,1
simulated,simulated,0,basic,yes,257.7594671223844,1
simulated,simulated,0,basic,yes,257.72107374842295,1
simulated,simulated,0,basic,yes,257.6905981768954,1
simulated,simulated,0,basic,yes,257.80544505156513,1
simulated,simulated,0,basic,yes,257.8004264396379,1
simulated,simulated,0,basic,yes,257.7358774486264,1
simulated,simulated,0,basic,yes,257.78686465709774,1
simulated,simulated,0,basic,yes,257.70271297069417,1
simulated,simulated,0,basic,yes,257.72300302469336,1
simulated,simulated,0,basic,yes,257.7943873978406,1
simulated,simulated,0,basic,yes,257.7446025929147,1
simulated,simulated,0,basic,yes,257.75819662881753,1
simulated,simulated,0,basic,yes,257.7757232904987,1
simulated,simulated,0,basic,yes,257.69172721894313,1
simulated,simulated,0,basic,yes,257.7749092533795,1
simulated,simulated,0,basic,yes,257.7096158393743,1
simulated,simulated,0,basic,yes,257.7603936305909,1
simulated,simulated,0,basic,yes,257.7587035596784,1
simulated,simulated,0,basic,yes,257.776206064919,1
simulated,simulated,0,basic,yes,257.7472836716107,1
simulated,simulated,0,basic,yes,257.7400756546843,1
simulated,simulated,0,basic,yes,257.7383581697716,1
simulated,simulated,0,basic,yes,257.7595070521979,1
simulated,simulated,0,basic,yes,257.7194725127924,1
simulated,simulated,0,basic,yes,257.7820281237835,1
simulated,simulated,0,basic,yes,257.749834581099,1
simulated,simulated,0,basic,yes,257.78863913474555,1
simulated,simulated,0,basic,yes,257.7926050484785,1
simulated,simulated,0,basic,yes,257.73265668766214,1
simulated,simulated,0,basic,yes,257.70747283046023,1
simulated,simulated,0,basic,yes,257.7517333984413,1
simulated,simulated,0,basic,yes,257.76003944522245,1
simulated,simulated,0,basic,yes,257.7678597562994,1
simulated,simulated,0,basic,yes,257.76740185290043,1
simulated,simulated,0,basic,yes,257.6966205137176,1
simulated,simulated,0,basic,yes,257.68864893703903,1
simulated,simulated,0,basic,yes,257.7895689646507,1
simulated,simulated,0,basic,yes,257.74486739137615,1
simulated,simulated,0,basic,yes,257.7876642672228,1
simulated,simulated,0,basic,yes,257.72965862917835,1
simulated,simulated,0,basic,yes,257.7689758078157,1
simulated,simulated,1,basic,yes,257.7645519651134,1
simulated,simulated,1,basic,yes,257.7102531775725,1
simulated,simulated,1,basic,yes,257.76866308744223,1
simulated,simulated,1,basic,yes,257.8042124977755,1
simulated,simulated,1,basic,yes,257.75741627553106,1
simulated,simulated,1,basic,yes,257.8080654129445,1
simulated,simulated,1,basic,yes,257.6965446948212,1
simulated,simulated,1,basic,yes,257.77265341866155,1
simulated,simulated,1,basic,yes,257.82371612277694,1
simulated,simulated,1,basic,yes,257.73308647461056,1
simulated,simulated,1,basic,yes,257.79253851406287,1
simulated,simulated,1,basic,yes,257.7104896294603,1
simulated,simulated,1,basic,yes,257.7505883428295,1
simulated,simulated,1,basic,yes,257.72905699850634,1
simulated,simulated,1,basic,yes,257.7804930668773,1
simulated,simulated,1,basic,yes,257.7493003789159,1
simulated,simulated,1,basic,yes,257.785702076696,1
simulated,simulated,1,basic,yes,257.7474140964692,1
simulated,simulated,1,basic,yes,257.78137412901754,1
simulated,simulated,1,basic,yes,257.77565505659436,1
simulated,simulated,1,basic,yes,257.78505502907535,1
simulated,simulated,1,basic,yes,257.76640001958935,1
simulated,simulated,1,basic,yes,257.7450692347751,1
simulated,simulated,1,basic,yes,257.7751601768781,1
simulated,simulated,1,basic,yes,257.706742042787,1
simulated,simulated,1,basic,yes,257.7643402009739,1
simulated,simulated,1,basic,yes,257.7995268995983,1
simulated,simulated,1,basic,yes,257.730798224408,1
simulated,simulated,1,basic,yes,257.759358394015,1
simulated,simulated,1,basic,yes,257.76962392672925,1
simulated,simulated,1,basic,yes,257.78336667231036,1
simulated,simulated,1,basic,yes,257.7853937754228,1
simulated,simulated,1,basic,yes,257.8023981054703,1
simulated,simulated,1,basic,yes,257.76602657678103,1
simulated,simulated,1,basic,yes,257.76306335097183,1
simulated,simulated,1,basic,yes,257.73834055791355,1
simulated,simulated,1,basic,yes,257.7705591430392,1
